TSCA,HAPS,EHS,COI,RTK,SVHC,RED,EPA,LTAP,SNUR List,NES HAPS,"PBT
(WAC 173-333-320)",IARC
111-62-6,,,,,,,,,P-18-0125,,,
111636-30-7,,,,,,,,,P-18-0130,,,
111-63-7,,,,,,,,,P-18-0162,,,
1116-39-8,,,,,,,,,P-18-0193,,,
1116-40-1,,,,,,,,,P-18-0194,,,
111-64-8,,,,,,,,,P-18-0195,,,
1116-54-7,,,,,,,,,P-18-0196,,,
111-65-9,,,,,,,,,P-18-0222,,,
111-66-0,,,,,,,,,P-18-0228,,,
1116-70-7,,,,,,,,,P-18-0234,,,
111-67-1,,,,,,,,,P-18-0270,,,
1116-73-0,,,,,,,,,P-18-0276,,,
1116-76-3,,,,,,,,,P-18-0322,,,
111681-72-2,,,,,,,,,P-18-0358,,,
111-68-2,,,,,,,,,P-18-0384,,,
111687-36-6,,,,,,,,,P-19-0004,,,
111691-32-8,,,,,,,,,P-19-0010,,,
111-69-3,,,,,,,,,P-19-0024,,,
1116-98-9,,,,,,,,,P-19-0034,,,
111-70-6,,,,,,,,,P-19-0124,,,
111-71-7,,,,,,,,,P-19-0125,,,
111-72-8,,,,,,,,,P-19-0126,,,
1117-31-3,,,,,,,,,P-19-0127,,,
111-74-0,,,,,,,,,P-19-0128,,,
1117-41-5,,,,,,,,,P-19-0129,,,
111743-57-8,,,,,,,,,P-83-0126,,,
111-75-1,,,,,,,,,P-83-0394,,,
1117-52-8,,,,,,,,,P-83-0769,,,
111753-62-9,,,,,,,,,P-83-0822,,,
1117-55-1,,,,,,,,,P-84-1219,,,
1117-59-5,,,,,,,,,P-85-0336,,,
1117-61-9,,,,,,,,,P-85-0941,,,
111-76-2,,,,,,,,,P-86-0065,,,
1117-71-1,,,,,,,,,P-86-0335,,,
111-77-3,,,,,,,,,P-86-1602,,,
1117-79-9,,,,,,,,,P-87-0323,,,
1117804-71-3,,,,,,,,,P-87-0794,,,
111-78-4,,,,,,,,,P-87-1273,,,
1117-86-8,,,,,,,,,P-87-1456,,,
111-79-5,,,,,,,,,P-87-1555,,,
1117-97-1,,,,,,,,,P-88-0522,,,
111798-26-6,,,,,,,,,P-88-0864,,,
1118-02-1,,,,,,,,,P-88-0894,,,
111-80-8,,,,,,,,,P-88-0999,,,
1118-12-3,,,,,,,,,P-88-1272,,,
1118-15-6,,,,,,,,,P-88-1273,,,
111-81-9,,,,,,,,,P-88-1658,,,
111-82-0,,,,,,,,,P-88-1682,,,
111823-39-3,,,,,,,,,P-88-1783,,,
111823-40-6,,,,,,,,,P-88-1898,,,
111823-42-8,,,,,,,,,P-88-1937,,,
111823-43-9,,,,,,,,,P-88-2100,,,
1118-27-0,,,,,,,,,P-88-2210,,,
111-83-1,,,,,,,,,P-88-2231,,,
1118-39-4,,,,,,,,,P-88-2237,,,
111-84-2,,,,,,,,,P-88-2530,,,
1118-46-3,,,,,,,,,P-88-2582,,,
1118-47-4,,,,,,,,,P-89-0030,,,
111850-23-8,,,,,,,,,P-89-0031,,,
111850-24-9,,,,,,,,,P-89-0336,,,
111850-25-0,,,,,,,,,P-89-0483,,,
111850-26-1,,,,,,,,,P-89-0506,,,
111850-27-2,,,,,,,,,P-89-0589,,,
111-85-3,,,,,,,,,P-89-0672,,,
1118-58-7,,,,,,,,,P-89-0676,,,
1118-60-1,,,,,,,,,P-89-0750,,,
1118-61-2,,,,,,,,,P-89-0755,,,
111-86-4,,,,,,,,,P-89-0756,,,
1118-68-9,,,,,,,,,P-89-0760,,,
111870-77-0,,,,,,,,,P-89-0810,,,
1118-71-4,,,,,,,,,P-89-0906,,,
1118729-23-9,,,,,,,,,P-89-1125,,,
111-87-5,,,,,,,,,P-90-0110,,,
111879-79-9,,,,,,,,,P-90-0211,,,
111879-80-2,,,,,,,,,P-90-0244,,,
111879-81-3,,,,,,,,,P-90-0245,,,
111-88-6,,,,,,,,,P-90-0404,,,
1118-89-4,,,,,,,,,P-90-0405,,,
1118-92-9,,,,,,,,,P-90-0406,,,
111-90-0,,,,,,,,,P-90-0481,,,
111905-70-5,,,,,,,,,P-90-0581,,,
111905-82-9,,,,,,,,,P-90-0643,,,
111-91-1,,,,,,,,,P-90-1357,,,
1119-16-0,,,,,,,,,P-90-1366,,,
111-92-2,,,,,,,,,P-90-1384,,,
1119-34-2,,,,,,,,,P-90-1472,,,
111937-03-2,,,,,,,,,P-90-1473,,,
1119-38-6,,,,,,,,,P-90-1564,,,
1119-40-0,,,,,,,,,P-90-1644,,,
111-94-4,,,,,,,,,P-90-1645,,,
1119-44-4,,,,,,,,,P-90-1646,,,
1119-49-9,,,,,,,,,P-90-1647,,,
1119-51-3,,,,,,,,,P-90-1648,,,
111-95-5,,,,,,,,,P-90-1649,,,
111960-92-0,,,,,,,,,P-90-1730,,,
1119-62-6,,,,,,,,,P-90-1844,,,
111-96-6,,,,,,,,,P-90-1845,,,
1119-74-0,,,,,,,,,P-90-1846,,,
111-97-7,,,,,,,,,P-91-0075,,,
111977-80-1,,,,,,,,,P-91-0087,,,
111977-81-2,,,,,,,,,P-91-0100,,,
111982-81-1,,,,,,,,,P-91-0101,,,
1119-85-3,,,,,,,,,P-91-0102,,,
1119-87-5,,,,,,,,,P-91-0225,,,
1119-94-4,,,,,,,,,P-91-0328,,,
1119-97-7,,,,,,,,,P-91-0490,,,
111998-18-6,,,,,,,,,P-91-0521,,,
1120-01-0,,,,,,,,,P-91-0659,,,
1120-02-1,,,,,,,,,P-91-0689,,,
1120-04-3,,,,,,,,,P-91-0710,,,
112-00-5,,,,,,,,,P-91-0899,,,
112006-75-4,,,,,,,,,P-91-0934,,,
112006-94-7,,,,,,,,,P-91-1131,,,
1120-16-7,,,,,,,,,P-91-1231,,,
1120-17-8,,,,,,,,,P-91-1232,,,
1120-21-4,,,,,,,,,P-91-1233,,,
1120-23-6,,,,,,,,,P-91-1234,,,
1120-24-7,,,,,,,,,P-91-1235,,,
112-02-7,,,,,,,,,P-91-1324,,,
1120-28-1,,,,,,,,,P-91-1372,,,
1120-34-9,,,,,,,,,P-91-1456,,,
1120-36-1,,,,,,,,,P-92-0034,,,
112-03-8,,,,,,,,,P-92-0036,,,
1120-44-1,,,,,,,,,P-92-0157,,,
1120-46-3,,,,,,,,,P-92-0159,,,
1120-48-5,,,,,,,,,P-92-0283,,,
112-04-9,,,,,,,,,P-92-0294,,,
1120-49-6,,,,,,,,,P-92-0314,,,
112-05-0,,,,,,,,,P-92-0403,,,
1120-56-5,,,,,,,,,P-92-0511,,,
112-06-1,,,,,,,,,P-92-0660,,,
1120-71-4,,,,,,,,,P-92-0686,,,
112-07-2,,,,,,,,,P-92-0714,,,
1120-72-5,,,,,,,,,P-92-0755,,,
1120-87-2,,,,,,,,,P-92-1125,,,
1121-03-5,,,,,,,,,P-92-1352,,,
112-10-7,,,,,,,,,P-93-0066,,,
112110-16-4,,,,,,,,,P-93-0204,,,
112-11-8,,,,,,,,,P-93-0313,,,
1121-22-8,,,,,,,,,P-93-0314,,,
1121-26-2,,,,,,,,,P-93-0315,,,
112-12-9,,,,,,,,,P-93-0316,,,
112-13-0,,,,,,,,,P-93-0352,,,
1121-31-9,,,,,,,,,P-93-0353,,,
112-14-1,,,,,,,,,P-93-0374,,,
1121-47-7,,,,,,,,,P-93-0375,,,
112-15-2,,,,,,,,,P-93-0483,,,
1121-60-4,,,,,,,,,P-93-0507,,,
112-16-3,,,,,,,,,P-93-0568,,,
1121649-70-4,,,,,,,,,P-93-0578,,,
1121-70-6,,,,,,,,,P-93-0722,,,
112-17-4,,,,,,,,,P-93-0723,,,
112-18-5,,,,,,,,,P-93-0724,,,
1121-86-4,,,,,,,,,P-93-0761,,,
1121-92-2,,,,,,,,,P-93-0853,,,
112-19-6,,,,,,,,,P-93-0854,,,
112-20-9,,,,,,,,,P-93-0856,,,
112-21-0,,,,,,,,,P-93-0857,,,
1122-12-9,,,,,,,,,P-93-0858,,,
1122-17-4,,,,,,,,,P-93-0987,,,
112-22-1,,,,,,,,,P-93-1043,,,
112-23-2,,,,,,,,,P-93-1193,,,
1122-42-5,,,,,,,,,P-93-1194,,,
112-24-3,,,,,,,,,P-93-1195,,,
112243-78-4,,,,,,,,,P-93-1196,,,
112-25-4,,,,,,,,,P-93-1197,,,
1122-54-9,,,,,,,,,P-93-1198,,,
1122-56-1,,,,,,,,,P-93-1199,,,
1122-58-3,,,,,,,,,P-93-1200,,,
1122-60-7,,,,,,,,,P-93-1201,,,
1122-62-9,,,,,,,,,P-93-1202,,,
112-26-5,,,,,,,,,P-93-1203,,,
1122-72-1,,,,,,,,,P-93-1204,,,
112-27-6,,,,,,,,,P-93-1205,,,
1122-81-2,,,,,,,,,P-93-1208,,,
1122-82-3,,,,,,,,,P-93-1308,,,
1122-83-4,,,,,,,,,P-93-1369,,,
1122-91-4,,,,,,,,,P-93-1423,,,
1122-93-6,,,,,,,,,P-93-1424,,,
112-29-8,,,,,,,,,P-93-1425,,,
112-30-1,,,,,,,,,P-93-1426,,,
112-31-2,,,,,,,,,P-93-1471,,,
112-32-3,,,,,,,,,P-94-0241,,,
1123-27-9,,,,,,,,,P-94-0325,,,
112-33-4,,,,,,,,,P-94-0327,,,
112-34-5,,,,,,,,,P-94-0422,,,
1123-54-2,,,,,,,,,P-94-0437,,,
112-35-6,,,,,,,,,P-94-0697,,,
112360-63-1,,,,,,,,,P-94-0698,,,
112-36-7,,,,,,,,,P-94-0699,,,
112375-88-9,,,,,,,,,P-94-0700,,,
112375-89-0,,,,,,,,,P-94-0701,,,
112375-90-3,,,,,,,,,P-94-0702,,,
112-37-8,,,,,,,,,P-94-0703,,,
1123-85-9,,,,,,,,,P-94-0704,,,
112-38-9,,,,,,,,,P-94-0705,,,
112-39-0,,,,,,,,,P-94-0706,,,
112400-77-8,,,,,,,,,P-94-0707,,,
112400-78-9,,,,,,,,,P-94-0708,,,
112-40-3,,,,,,,,,P-94-0709,,,
1124-05-6,,,,,,,,,P-94-0710,,,
1124-11-4,,,,,,,,,P-94-0711,,,
112-41-4,,,,,,,,,P-94-0712,,,
112-42-5,,,,,,,,,P-94-0713,,,
1124-33-0,,,,,,,,,P-94-0714,,,
112-43-6,,,,,,,,,P-94-0715,,,
112-44-7,,,,,,,,,P-94-0716,,,
112456-87-8,,,,,,,,,P-94-0717,,,
112-45-8,,,,,,,,,P-94-0718,,,
112-47-0,,,,,,,,,P-94-0719,,,
112484-41-0,,,,,,,,,P-94-0720,,,
112484-42-1,,,,,,,,,P-94-0721,,,
112484-43-2,,,,,,,,,P-94-0722,,,
112484-44-3,,,,,,,,,P-94-0723,,,
112-49-2,,,,,,,,,P-94-0724,,,
112-50-5,,,,,,,,,P-94-0725,,,
1125-12-8,,,,,,,,,P-94-0726,,,
1125-21-9,,,,,,,,,P-94-0727,,,
112-52-7,,,,,,,,,P-94-0728,,,
1125-27-5,,,,,,,,,P-94-0729,,,
112-53-8,,,,,,,,,P-94-0730,,,
112-54-9,,,,,,,,,P-94-0731,,,
112-55-0,,,,,,,,,P-94-0732,,,
112567-35-8,,,,,,,,,P-94-0733,,,
112567-52-9,,,,,,,,,P-94-0734,,,
112-57-2,,,,,,,,,P-94-0735,,,
112576-45-1,,,,,,,,,P-94-0736,,,
112576-46-2,,,,,,,,,P-94-0737,,,
112576-48-4,,,,,,,,,P-94-0738,,,
112576-50-8,,,,,,,,,P-94-0739,,,
112-58-3,,,,,,,,,P-94-0740,,,
1125-88-8,,,,,,,,,P-94-0741,,,
112592-62-8,,,,,,,,,P-94-0742,,,
112-59-4,,,,,,,,,P-94-0743,,,
112599-46-9,,,,,,,,,P-94-0744,,,
112-60-7,,,,,,,,,P-94-0745,,,
112-61-8,,,,,,,,,P-94-0746,,,
112623-48-0,,,,,,,,,P-94-0747,,,
112-62-9,,,,,,,,,P-94-0748,,,
112-63-0,,,,,,,,,P-94-0749,,,
1126-34-7,,,,,,,,,P-94-0750,,,
112-64-1,,,,,,,,,P-94-0751,,,
1126-46-1,,,,,,,,,P-94-0752,,,
1126-58-5,,,,,,,,,P-94-0753,,,
112-66-3,,,,,,,,,P-94-0754,,,
112673-71-9,,,,,,,,,P-94-0755,,,
112-67-4,,,,,,,,,P-94-0756,,,
1126-78-9,,,,,,,,,P-94-0757,,,
1126-79-0,,,,,,,,,P-94-0758,,,
112-69-6,,,,,,,,,P-94-0759,,,
112704-79-7,,,,,,,,,P-94-0760,,,
112-70-9,,,,,,,,,P-94-0761,,,
112-71-0,,,,,,,,,P-94-0762,,,
112715-52-3,,,,,,,,,P-94-0763,,,
112-72-1,,,,,,,,,P-94-0764,,,
112727-79-4,,,,,,,,,P-94-0765,,,
112-73-2,,,,,,,,,P-94-0766,,,
112-75-4,,,,,,,,,P-94-0767,,,
112-76-5,,,,,,,,,P-94-0768,,,
112-77-6,,,,,,,,,P-94-0769,,,
112-80-1,,,,,,,,,P-94-0770,,,
1128-08-1,,,,,,,,,P-94-0771,,,
112811-90-2,,,,,,,,,P-94-0772,,,
1128-16-1,,,,,,,,,P-94-0773,,,
112820-37-8,,,,,,,,,P-94-0774,,,
112-82-3,,,,,,,,,P-94-0775,,,
112-84-5,,,,,,,,,P-94-0776,,,
112-85-6,,,,,,,,,P-94-0777,,,
112864-12-7,,,,,,,,,P-94-0778,,,
112864-14-9,,,,,,,,,P-94-0779,,,
112864-15-0,,,,,,,,,P-94-0780,,,
112-86-7,,,,,,,,,P-94-0781,,,
1128-67-2,,,,,,,,,P-94-0782,,,
1128-76-3,,,,,,,,,P-94-0783,,,
112-88-9,,,,,,,,,P-94-0784,,,
112-89-0,,,,,,,,,P-94-0785,,,
112898-48-3,,,,,,,,,P-94-0786,,,
112-90-3,,,,,,,,,P-94-0787,,,
112-91-4,,,,,,,,,P-94-0788,,,
1129-19-7,,,,,,,,,P-94-0789,,,
112-92-5,,,,,,,,,P-94-0790,,,
112941-26-1,,,,,,,,,P-94-0791,,,
1129-41-5,,,,,,,,,P-94-0792,,,
1129-42-6,,,,,,,,,P-94-0793,,,
112945-48-9,,,,,,,,,P-94-0794,,,
1129-47-1,,,,,,,,,P-94-0795,,,
1129-50-6,,,,,,,,,P-94-0796,,,
112955-56-3,,,,,,,,,P-94-0797,,,
112-95-8,,,,,,,,,P-94-0798,,,
1129-62-0,,,,,,,,,P-94-0799,,,
112-96-9,,,,,,,,,P-94-0800,,,
112-98-1,,,,,,,,,P-94-0801,,,
112-99-2,,,,,,,,,P-94-0802,,,
113010-54-1,,,,,,,,,P-94-0803,,,
1130165-74-0,,,,,,,,,P-94-0804,,,
113033-14-0,,,,,,,,,P-94-0805,,,
113060-09-6,,,,,,,,,P-94-0806,,,
113060-10-9,,,,,,,,,P-94-0807,,,
113060-11-0,,,,,,,,,P-94-0808,,,
113060-12-1,,,,,,,,,P-94-0809,,,
113060-13-2,,,,,,,,,P-94-0810,,,
113060-14-3,,,,,,,,,P-94-0811,,,
113060-15-4,,,,,,,,,P-94-0812,,,
113060-16-5,,,,,,,,,P-94-0813,,,
113089-71-7,,,,,,,,,P-94-0814,,,
1131-01-7,,,,,,,,,P-94-0815,,,
113114-04-8,,,,,,,,,P-94-0816,,,
113114-05-9,,,,,,,,,P-94-0817,,,
113114-06-0,,,,,,,,,P-94-0818,,,
113114-07-1,,,,,,,,,P-94-0819,,,
113114-08-2,,,,,,,,,P-94-0820,,,
113114-09-3,,,,,,,,,P-94-0821,,,
113114-20-8,,,,,,,,,P-94-0822,,,
1131-16-4,,,,,,,,,P-94-0823,,,
1131-18-6,,,,,,,,,P-94-0824,,,
1131-40-4,,,,,,,,,P-94-0825,,,
1131-60-8,,,,,,,,,P-94-0826,,,
1131-61-9,,,,,,,,,P-94-0827,,,
1131-62-0,,,,,,,,,P-94-0828,,,
113184-20-6,,,,,,,,,P-94-0829,,,
113184-21-7,,,,,,,,,P-94-0830,,,
113184-22-8,,,,,,,,,P-94-0831,,,
113184-23-9,,,,,,,,,P-94-0832,,,
113184-24-0,,,,,,,,,P-94-0833,,,
113184-25-1,,,,,,,,,P-94-0834,,,
113184-26-2,,,,,,,,,P-94-0835,,,
113184-27-3,,,,,,,,,P-94-0836,,,
113184-28-4,,,,,,,,,P-94-0837,,,
113184-29-5,,,,,,,,,P-94-0838,,,
1132-21-4,,,,,,,,,P-94-0839,,,
113221-69-5,,,,,,,,,P-94-0840,,,
113221-70-8,,,,,,,,,P-94-0841,,,
113221-71-9,,,,,,,,,P-94-0842,,,
113221-72-0,,,,,,,,,P-94-0843,,,
113221-73-1,,,,,,,,,P-94-0844,,,
113221-74-2,,,,,,,,,P-94-0845,,,
113221-75-3,,,,,,,,,P-94-0846,,,
113221-76-4,,,,,,,,,P-94-0847,,,
113221-77-5,,,,,,,,,P-94-0848,,,
113221-79-7,,,,,,,,,P-94-0849,,,
1132-39-4,,,,,,,,,P-94-0850,,,
113-24-6,,,,,,,,,P-94-0851,,,
113252-62-3,,,,,,,,,P-94-0852,,,
113252-63-4,,,,,,,,,P-94-0854,,,
113252-64-5,,,,,,,,,P-94-0855,,,
1132-61-2,,,,,,,,,P-94-0856,,,
113263-60-8,,,,,,,,,P-94-0857,,,
113275-12-0,,,,,,,,,P-94-0858,,,
113293-50-8,,,,,,,,,P-94-0859,,,
113303-58-5,,,,,,,,,P-94-0860,,,
113338-78-6,,,,,,,,,P-94-0861,,,
113355-02-5,,,,,,,,,P-94-0862,,,
113355-03-6,,,,,,,,,P-94-0863,,,
113355-04-7,,,,,,,,,P-94-0864,,,
113355-05-8,,,,,,,,,P-94-0865,,,
113381-61-6,,,,,,,,,P-94-0866,,,
1134-04-9,,,,,,,,,P-94-0867,,,
1134-35-6,,,,,,,,,P-94-0868,,,
1134-36-7,,,,,,,,,P-94-0869,,,
113476-06-5,,,,,,,,,P-94-0870,,,
113486-29-6,,,,,,,,,P-94-0871,,,
113509-74-3,,,,,,,,,P-94-0872,,,
113-52-0,,,,,,,,,P-94-0873,,,
1135-24-6,,,,,,,,,P-94-0874,,,
113532-29-9,,,,,,,,,P-94-0875,,,
113534-44-4,,,,,,,,,P-94-0876,,,
113534-62-6,,,,,,,,,P-94-0877,,,
1135-40-6,,,,,,,,,P-94-0878,,,
1135-51-9,,,,,,,,,P-94-0879,,,
1135-66-6,,,,,,,,,P-94-0880,,,
113569-14-5,,,,,,,,,P-94-0881,,,
1136-45-4,,,,,,,,,P-94-0882,,,
113659-04-4,,,,,,,,,P-94-0883,,,
113669-94-6,,,,,,,,,P-94-0884,,,
113669-95-7,,,,,,,,,P-94-0885,,,
113669-96-8,,,,,,,,,P-94-0886,,,
113669-97-9,,,,,,,,,P-94-0887,,,
113669-98-0,,,,,,,,,P-94-0888,,,
113678-04-9,,,,,,,,,P-94-0889,,,
113706-14-2,,,,,,,,,P-94-0890,,,
113706-15-3,,,,,,,,,P-94-0891,,,
113717-47-8,,,,,,,,,P-94-0892,,,
1137-41-3,,,,,,,,,P-94-0893,,,
1137-42-4,,,,,,,,,P-94-0894,,,
1137739-11-7,,,,,,,,,P-94-0895,,,
113796-70-6,,,,,,,,,P-94-0921,,,
1138-15-4,,,,,,,,,P-94-1042,,,
1138156-39-4,,,,,,,,,P-94-1143,,,
113833-54-8,,,,,,,,,P-94-1239,,,
113833-55-9,,,,,,,,,P-94-1241,,,
1138-52-9,,,,,,,,,P-94-1242,,,
1138-80-3,,,,,,,,,P-94-1243,,,
113889-23-9,,,,,,,,,P-94-1244,,,
113894-85-2,,,,,,,,,P-94-1245,,,
113894-86-3,,,,,,,,,P-94-1246,,,
113894-87-4,,,,,,,,,P-94-1508,,,
113894-88-5,,,,,,,,,P-94-1527,,,
113894-89-6,,,,,,,,,P-94-1747,,,
113894-90-9,,,,,,,,,P-94-1755,,,
113894-91-0,,,,,,,,,P-95-0085,,,
113894-92-1,,,,,,,,,P-95-0633,,,
113915-68-7,,,,,,,,,P-95-0724,,,
113-92-8,,,,,,,,,P-95-0871,,,
1139-30-6,,,,,,,,,P-95-0979,,,
113976-90-2,,,,,,,,,P-95-0980,,,
113976-91-3,,,,,,,,,P-95-0981,,,
113976-92-4,,,,,,,,,P-95-1022,,,
113-98-4,,,,,,,,,P-95-1024,,,
114060-55-8,,,,,,,,,P-95-1040,,,
114060-57-0,,,,,,,,,P-95-1208,,,
114060-59-2,,,,,,,,,P-95-1317,,,
114060-60-5,,,,,,,,,P-95-1347,,,
114060-61-6,,,,,,,,,P-95-1400,,,
114060-65-0,,,,,,,,,P-95-1410,,,
114096-61-6,,,,,,,,,P-95-1558,,,
114096-62-7,,,,,,,,,P-95-1578,,,
114096-63-8,,,,,,,,,P-95-1650,,,
114096-64-9,,,,,,,,,P-95-1652,,,
114119-97-0,,,,,,,,,P-96-0308,,,
114133-44-7,,,,,,,,,P-96-0399,,,
114136-87-7,,,,,,,,,P-96-0400,,,
1141-38-4,,,,,,,,,P-96-0401,,,
1141487-54-8,,,,,,,,,P-96-0402,,,
1141-59-9,,,,,,,,,P-96-0403,,,
114162-64-0,,,,,,,,,P-96-0404,,,
1141-88-4,,,,,,,,,P-96-0406,,,
1142-19-4,,,,,,,,,P-96-0407,,,
114223-00-6,,,,,,,,,P-96-0408,,,
1142-39-8,,,,,,,,,P-96-0554,,,
114-25-0,,,,,,,,,P-96-0555,,,
114352-16-8,,,,,,,,,P-96-0556,,,
114367-12-3,,,,,,,,,P-96-0557,,,
1143-72-2,,,,,,,,,P-96-0558,,,
114391-97-8,,,,,,,,,P-96-0559,,,
114435-02-8,,,,,,,,,P-96-0573,,,
1144-50-9,,,,,,,,,P-96-0702,,,
1144-74-7,,,,,,,,,P-96-0757,,,
114480-39-6,,,,,,,,,P-96-0941,,,
114492-65-8,,,,,,,,,P-96-0942,,,
114492-66-9,,,,,,,,,P-96-0948,,,
114492-67-0,,,,,,,,,P-96-1233,,,
114-49-8,,,,,,,,,P-96-1235,,,
1145-01-3,,,,,,,,,P-96-1239,,,
114535-79-4,,,,,,,,,P-96-1263,,,
114535-80-7,,,,,,,,,P-96-1280,,,
114535-81-8,,,,,,,,,P-96-1281,,,
114535-82-9,,,,,,,,,P-96-1319,,,
114535-84-1,,,,,,,,,P-96-1408,,,
114535-85-2,,,,,,,,,P-96-1410,,,
114535-86-3,,,,,,,,,P-96-1427,,,
114535-87-4,,,,,,,,,P-96-1478,,,
114553-46-7,,,,,,,,,P-96-1504,,,
114553-47-8,,,,,,,,,P-96-1505,,,
114553-48-9,,,,,,,,,P-96-1506,,,
114553-49-0,,,,,,,,,P-96-1507,,,
114553-50-3,,,,,,,,,P-96-1508,,,
114553-51-4,,,,,,,,,P-96-1510,,,
114553-52-5,,,,,,,,,P-96-1511,,,
114565-67-2,,,,,,,,,P-96-1512,,,
114615-88-2,,,,,,,,,P-96-1513,,,
114-63-6,,,,,,,,,P-96-1514,,,
114650-76-9,,,,,,,,,P-96-1520,,,
114651-28-4,,,,,,,,,P-96-1536,,,
114651-37-5,,,,,,,,,P-96-1661,,,
114679-28-6,,,,,,,,,P-97-0004,,,
114679-30-0,,,,,,,,,P-97-0042,,,
114679-31-1,,,,,,,,,P-97-0043,,,
114697-07-3,,,,,,,,,P-97-0136,,,
114-70-5,,,,,,,,,P-97-0179,,,
114747-29-4,,,,,,,,,P-97-0181,,,
114747-44-3,,,,,,,,,P-97-0298,,,
114747-45-4,,,,,,,,,P-97-0332,,,
1147-56-4,,,,,,,,,P-97-0370,,,
114764-54-4,,,,,,,,,P-97-0415,,,
114766-08-4,,,,,,,,,P-97-0417,,,
114793-00-9,,,,,,,,,P-97-0593,,,
114793-01-0,,,,,,,,,P-97-0635,,,
114820-71-2,,,,,,,,,P-97-0769,,,
114-83-0,,,,,,,,,P-97-0775,,,
114838-32-3,,,,,,,,,P-97-0781,,,
114839-95-1,,,,,,,,,P-97-0782,,,
114862-93-0,,,,,,,,,P-97-0783,,,
1148-79-4,,,,,,,,,P-97-0881,,,
114886-92-9,,,,,,,,,P-97-0882,,,
114886-93-0,,,,,,,,,P-97-0916,,,
114886-94-1,,,,,,,,,P-97-0943,,,
114886-95-2,,,,,,,,,P-97-0944,,,
114886-96-3,,,,,,,,,P-97-0945,,,
114886-97-4,,,,,,,,,P-97-0946,,,
114886-98-5,,,,,,,,,P-97-0947,,,
114886-99-6,,,,,,,,,P-97-0948,,,
114887-00-2,,,,,,,,,P-97-1028,,,
114887-01-3,,,,,,,,,P-97-1029,,,
114887-02-4,,,,,,,,,P-97-1060,,,
114887-03-5,,,,,,,,,P-97-1061,,,
114887-04-6,,,,,,,,,P-97-1062,,,
114887-05-7,,,,,,,,,P-97-1108,,,
114-91-0,,,,,,,,,P-98-0105,,,
114910-03-1,,,,,,,,,P-98-0155,,,
114910-04-2,,,,,,,,,P-98-0198,,,
114910-05-3,,,,,,,,,P-98-0414,,,
1149-16-2,,,,,,,,,P-98-0415,,,
114959-46-5,,,,,,,,,P-98-0416,,,
114959-47-6,,,,,,,,,P-98-0417,,,
114959-48-7,,,,,,,,,P-98-0497,,,
115001-58-6,,,,,,,,,P-98-0626,,,
115019-52-8,,,,,,,,,P-98-0627,,,
115035-50-2,,,,,,,,,P-98-0628,,,
115035-51-3,,,,,,,,,P-98-0629,,,
115035-53-5,,,,,,,,,P-98-0645,,,
115035-54-6,,,,,,,,,P-98-0716,,,
115048-01-6,,,,,,,,,P-98-0718,,,
115-07-1,,,,,,,,,P-98-0774,,,
115079-30-6,,,,,,,,,P-98-0807,,,
115079-31-7,,,,,,,,,P-98-0809,,,
115079-32-8,,,,,,,,,P-98-1034,,,
115079-33-9,,,,,,,,,P-98-1035,,,
115079-34-0,,,,,,,,,P-98-1036,,,
115100-54-4,,,,,,,,,P-98-1162,,,
115100-55-5,,,,,,,,,P-98-1164,,,
115100-56-6,,,,,,,,,P-98-1172,,,
115-10-6,,,,,,,,,P-98-1182,,,
115-11-7,,,,,,,,,P-99-0044,,,
115120-48-4,,,,,,,,,P-99-0143,,,
115120-49-5,,,,,,,,,P-99-0144,,,
115120-50-8,,,,,,,,,P-99-0145,,,
115120-51-9,,,,,,,,,P-99-0146,,,
115120-52-0,,,,,,,,,P-99-0157,,,
115120-53-1,,,,,,,,,P-99-0198,,,
1151519-17-3,,,,,,,,,P-99-0199,,,
1151559-60-2,,,,,,,,,P-99-0296,,,
1151654-51-1,,,,,,,,,P-99-0368,,,
115-17-3,,,,,,,,,P-99-0369,,,
115-18-4,,,,,,,,,P-99-0510,,,
115-19-5,,,,,,,,,P-99-0557,,,
1151-97-9,,,,,,,,,P-99-0618,,,
115-20-8,,,,,,,,,P-99-0754,,,
115-21-9,,,,,,,,,P-99-0873,,,
115-22-0,,,,,,,,,P-99-0897,,,
1152269-15-2,,,,,,,,,P-99-0952,,,
115235-63-7,,,,,,,,,P-99-1280,,,
115241-77-5,,,,,,,,,P-99-1281,,,
115246-97-4,,,,,,,,,P-99-1282,,,
115246-98-5,,,,,,,,,P-99-1287,,,
115246-99-6,,,,,,,,,P-99-1366,,,
115-25-3,,,,,,,,,P-99-1399,,,
115254-47-2,,,,,,,,,UID-2016-00001;119585,,,
1152-61-0,,,,,,,,,UID-2016-00003;277895,,,
115271-29-9,,,,,,,,,UID-2016-00005;242650,,,
115271-30-2,,,,,,,,,UID-2016-00006;234798,,,
115271-32-4,,,,,,,,,UID-2016-00022;199123,,,
115271-33-5,,,,,,,,,UID-2016-00067;105578,,,
115-27-5,,,,,,,,,UID-2016-00088;148835,,,
115-28-6,,,,,,,,,UID-2016-00096;258594,,,
1153-05-5,,,,,,,,,UID-2016-00107;269637,,,
115-31-1,,,,,,,,,UID-2016-00108;234038,,,
115323-04-1,,,,,,,,,UID-2016-00115;273735,,,
115323-05-2,,,,,,,,,UID-2016-00116;238756,,,
115323-06-3,,,,,,,,,UID-2016-00122;278923,,,
